Title,Time,Category,Link,Claim,Investigation,SourcesLinks
هذا المقطع متداول منذ عام 2017، ولا يصور تدمير القوات المصرية آليات عسكرية تابعة لقوات الدعم السريع مؤخرًا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-متداول-منذ-عام-2017،-ولا-يصور-تد/,الجيش المصري يتعامل مع متحرك متمردي الدعم السريع متسلل من ليبيا يتكون من عشره عربات لاندكروزر دفع رباعي محمله بالاسلحه عند الحدود الغربيه لمصر..,,['https://www.facebook.com/EgyArmySpox/videos/1174832842647696']
لا صحة لهذا الخبر المتداول حول انقطاع الانترنت في العراق وباقي الدول بسبب عاصفة مغناطيسية,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/إدعاءات-زائفة-حول-خبر-انقطاع-الانترنت/,"‫#عاجل_الآن‬
خلال ساعات قليلة وسينقطع الانترنت والشبكات في العراق وباقي الدول بسبب عاصفة مغناطيسية شديدة ستضرب الكرة الأرضية
سترك يارب",,"['https://archive.ph/ZZ0eq', 'https://apnews.com/article/sun-solar-flare-geomagnetic-storm-magnetic-corona-73fc7ecffaff88fbfaea51aa82025217', 'https://www.cbsnews.com/news/earth-geomagnetic-storm-what-that-means-what-you-can-expect/', 'https://www.jpl.nasa.gov/nmp/st5/SCIENCE/disturbances.html#:~:text=Geomagnetic%20storms%20and%20substorms%20are,field%20lines%20that%20loop%20back).', 'https://www.jpl.nasa.gov/nmp/st5/SCIENCE/aurora.html#:~:text=Auroras%20are%20brilliant%20ribbons%20of,ejections%20(ejected%20gas%20bubbles).', 'https://www.usgs.gov/faqs/what-are-hazards-magnetic-storms']"
هذا المقطع يظهر عملاً فنياً وليس كتابًا باسم “Morisa” غلافه مصنوع من جلد إنسان,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-يظهر-عملاً-فنياً-وليس-كتابً/,"اغرب كتاب على مر التاريخ
مغطى بالكامل بجلد إنسان!!
يسمى كتاب Morisa محرم في كل ديانات العالم",,[]
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/disarming-disinformation/,,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/fatabyyano-announces-the-launch-of-kinan-the-smart-fact-checking-assistant-in-partnership-with-meedan/,,,
جيبوتي -Djibouti حملة COVID-19 vs F19,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/جيبوتي-djibouti-حملة-covid-19-vs-f19/,,,
اليمن -Yemen حملة COVID-19 vs F19,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/اليمن-yemen-حملة-covid-19-vs-f19/,,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/371617829383-2/,#عاجل_الان: اليابان تحظر لقاحات كورونا بعد زيادة الوفيات… اللقاح تسبب في الكثير من الوفيات الآن اليابان تواجه انهيارًا سكانيًا حيث يموت عدد أكبر من المواطنين أكثر من عدد الذين يولدون… تحذر بقية الدول,,
هذه المعلومات المتداولة حول مشروع هارب واستخدامه كسلاح للتحكم بالطقس والتسبب بكوارث طبيعية غير صحيحة,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/مشروع-هارب-الأمريكي-للتحكم-في-الطقس/,,,
هذا المقطع مفبرك، والمقطع الأصلي لا يظهر الرئيس الفرنسي إيمانويل ماكرون يرقص في شبابه,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-مفبرك،-والمقطع-الأصلي-لا-يظ/,"ذكريات السيرة الذاتية النضالية للرئيس الفرنسي ماكرون جهود مضنية بذلها حتى وصل أو بالأصح اوصله عراب السياسة الفرنسية ،،
والمضحك انه يريد شن الحرب على روسيا)",,[]
هذه الصورة ليست لمكة المكرمة عام 1860 بل لموقع تصوير سينمائي يحاكي مكة المكرمة في إيران,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذه-الصورة-ليست-لمكة-المكرمة-عام-1860-بل-لم/,"بيت الله الحرام في مكة المكرمة
عام 1860",,['https://fatabyyano.net/%D9%87%D8%B0%D8%A7-%D8%A7%D9%84%D9%85%D9%82%D8%B7%D8%B9-%D9%85%D8%B5%D9%88%D8%B1-%D9%81%D9%8A-%D9%85%D8%B9%D8%B1%D8%B6-%D8%AA%D8%B1%D9%81%D9%8A%D9%87%D9%8A-%D8%AE%D8%A7%D8%B5-%D8%A8%D8%B9%D8%A7%D9%84/']
هذا المقطع يظهر قصفًا طال سفينتين روسيتين في شبه جزيرة القرم، وليس من القصف الإسرائيلي الأخير على مدينة بعلبك,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-يظهر-قصفًا-طال-سفينتين-روسي/,طيران الاحتلال يستهدف مدينة بعلبك في لبنان.,,['https://www.dailymail.co.uk/news/article-13232887/Ukraine-strikes-two-large-Putin-warships-unleashes-Storm-Shadow-bombardment-occupied-naval-port-Sevastopol-destroying-Black-Sea-Fleet-communications-centre.html']
هذا المقطع مصور في معرض ترفيهي خاص بعالم هاري بوتر، ونبات الماندراكورا الحقيقي لا يصرخ عند استخراجه,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-مصور-في-معرض-ترفيهي-خاص-بعال/,"ظهرت التبتة في فيلم هاري بوتر وهي نبتة ذات اصول حقيقيه تدعى نبتة الماندراگورا (mandragora) , من أندر النباتات و أغربها على الإطلاق ، لكن رغم ذلك تم إكتاشفها قبل ألاف السنين ، و إرتبطت هذه النبتة بخرفات عديدة ، من ما قيل عنها أنها نبتة لها قوى سحرية ، و السبب راجع لقدرتها في علاج أمراض كثيرة لم يتوصل الطب لعلاجها ، و ذلك عن طريق أكل أوراقها و أو ثمارها التي تسمى ببيض الجن .
أما عن جدورها فكانت تستخدم كمخدر قوي أو في الجراحات و أيضا كانت تستخدم في السحر الأسود .الأمر الغريب في هذه النبتة أن كل من يحاول إستخراجها يتعرض لصرخة قوية تتسبب في موته الفوري . (تعتبر هذه الصرخة وسيلة من وسائل الدفاع عند النبتة)إذا كيف كان يتم إستخراجها !؟
كان يتم إستخراجها عن طريق ربطها بحيوان و غالبا ما يكون كلب .
رغم كل هذا فهي نبتة نادرة و مازال العلماء في صدد دراستها . و ما يشكل عائق في دراستها هو نذرتها ، فهي تتواجد فقط في المشرق العربي و جنوب أروبا و شمال غرب إفريقيا . #الماندراكورا #غرائب وعجائب #نباتات #explore #الاكسبلور #الاكسبلور_فولو💕 #نباتات #نباتاتي #نباتاتي",,"['https://www.instagram.com/p/C1v1eiIKFHR/', 'https://www.youtube.com/watch?v=At-_lsOOYe4']"
لا وجود لكتاب يدعى “مثلث التوحيد”، والنسخة المتداولة من هذا الكتاب تعود للشاعر الروماني فيرجيل وليس كتاب ديني,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذه-الصورة-مفبركة،-والأصلية-تبين-لوحة/,"تحذير!!!
هذا الكتاب اسمه مثلث التوحيد يجمع بين الاديان الثلاثه فيه صور من القرآن محرفه
هو الآن يوزع في الكويت. ممكن يوصلك في اي وقت. لا تقرأ منه. واقرا من طبع سعوديه
او ازهريه.",,['https://www.olivergal.com/the-fairest-i-iv-iii/10518.html']
هذا المقطع يصور مظاهرة في ساحة العاصي في حماة عام 2011 وليس حديثًا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-يصور-مظاهرة-في-ساحة-العاصي-ف/,"عاجل


حماة /ساحة العاصي قبل قليل


مئات الأشخاص يكسرون حاجز الخوف بعد انتهاء الصلاة أثناء تجمعهم في الساحة ويهتفون إحياءا لذكرى الثورة",,['https://www.youtube.com/watch?v=K1BEly_gwnA']
هذا الفيديو يظهر مظاهرة قديمة في مدينة قوص في محافظة قنا عام 2019 وليست لمظاهرات خرجت حديثًا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-الفيديو-يظهر-مظاهرة-قديمة-في-مدينة/,ارحل يا بلحة هكذا خرج الشعب المصري للشارع ….التغيير دايما ياتي من الجنوب …,,[]
هذه الصورة تعود للقنصلية البريطانية في تركيا عام 2022، ولا صحة لخبر تنكيس الأعلام في بريطانيا مؤخرًا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/تنكيس-الأعلام-في-بريطانيا-إثر-اختفاء-م/,عاجل يتم تنكيس الأعلام في بريطانيا,"هذه الصورة تعود لتنكيس العلم فوق القنصلية البريطانية في تركيا عام 2022 إثر وفاة الملكة إليزابيث الثانية ولم يتم تنكيس الأعلام في بريطانيا حديثًا
نقلًا عن فرانس24 -دون تصرف-: تخضع الأميرة كيت لعلاج كيميائي وقائي بعد أن كشفت تحاليل أجريت لها في البطن أنها مصابة بالسرطان، وفق ما أعلنته الجمعة 22 مارس 2023. وقالت كيت التي لم تظهر في أي مناسبة عامة منذ أن حضرت قداس عيد الميلاد، إنها بصحة جيدة وتزداد قوة، في مقطع فيديو تم تصويره الأربعاء.
في هذا السياق، تناقل ناشطون على فيسبوك صورة يدعون أنها تبين تنكيس الأعلام في بريطانيا في إشارة إلى وفاة أحد أفراد العائلة الملكية،
إلا أن التحري الذي أجراه فريق فتبينوا كشف أن الادعاء غير صحيح،
قاد البحث العكسي عن الصورة في محرك TinEye إلى صحيفة Haber 7 التركية،
التي نشرتها في 09 سبتمبر 2022 مبينة أنها تظهر حالة الحداد في القنصلية البريطانية العامة في منطقة Beyoğlu في اسطنبول.
إثر إعلان وفاة الملكة إليزابيث الثانية في 08 سبتمبر، حيث تم إنزال علم المملكة المتحدة في القنصلية العامة إلى نصف السارية.
إذ يُستخدم تنكيس العلم كبادرة حداد من قبل الحكومات في المملكة المتحدة وحول العالم.
كما أرجعت الصحيفة حقوق الصورة لوكالة الأناضول الرسمية التي نشرتها في ذات السياق آنذاك.
كذلك نشرت صحيفة “صباح” التركية في 08 سبتمبر 2022 فيديو تضمن مشاهد مطابقة لصورة الادعاء ضمن تقريرها حول هذا الحدث.

 
هذا ويمكن مطابقة معالم المبنى في هذا المقطع مع مبنى القنصلية البريطانية في اسطنبول كما تظهره الصور المتوفرة للقنصلية على خرائط جوجل، مما يؤكد أن الصورة تعود لهذا الحدث..


مطابقة المبنى الظاهر في صورة الادعاء -إلى اليمين – مع صورة لمبنى القنصلية البريطانية في تركيا متوفرة على خرائط جوجل

هل تم تنكيس الأعلام في بريطانيا مؤخرًا؟
بالرجوع إلى المصادر الرسمية أو المحلية البريطانية، لم يرصد فريق فتبينوا أي خبر يفيد بتنكيس الأعلام في بريطانيا خلال مارس الجاري، كما لم يصدر قصر باكنغهام أي بيان حول صحة الملك منذ تأكيده في 5 فبراير أنه تم تشخيص إصابته بـ “نوع من السرطان”،
بينما قال قصر كنسينغتون في 01 مارس الجاري إن أميرة ويلز “في حالة جيدة” بعد إجراء عملية جراحية مخطط لها في البطن في يناير الماضي.
علاوة على ذلك، أكدت صحيفة The Evening Standard المحلية في لندن في تقرير نشرته في 19 مارس  2024،
أن العلم البريطاني في قصر باكنغهام لم يتم تنكيسه مؤخرًا، ومن الممكن رؤيته عاليًا بشكل واضح تمامًا،
كما ورصد فريق فتبينوا عدة مشاهد بث حي من أمام قصر باكنغهام في لندن شاركها ناشطون على فيسبوك في 18 و20 مارس الجاري،
يظهر خلالها العلم البريطاني يحلق عاليًا فوق القصر بوضوح.
اقرأ أيضًا: هذا المقطع يعود لعام 2007، ولا يظهر أفريقيًّا يقتحم مراسم جنازة إليزابيث الثانية 
تقييم فتبينوا: بناء على ما سبق، قررت منصة فتبينوا تصنيف الادعاء على أنه مضلل، لأنه استخدم صورة قديمة في غير سياقها من أجل ترويج خبر غير صحيح.",
هذه الصور من صنع برامج الذكاء الاصطناعي، ولا تظهر مهرجانًا لأكل البرسيم والحشائش في سنغافورة,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذه-الصور-نتاج-الذكاء-الاصطناعي،-ولا-ت/,"مهرجان في سنغافورة لأكل البرسيم و الحشائش لكي يتذكروا سنوات الفقر و الجوع التي عاشها شعب سنغافورة قبل 30 سنة ، حيث كان طعام اغلب الناس .


سنغافورة اليوم من أغنى دول آسيا و دخل الفرد السنوي يتجاوز 59،000 دولار بعدما كان 120 دولار فقط عند الانفصال عن ماليزيا سنة 1965.",,"['https://www.facebook.com/groups/officialmidjourney/posts/555537523404483', 'https://www.visitsingapore.com/festivals-events-singapore/annual-highlights/singapore-food-festival/', 'https://www.mas.gov.sg/news/speeches/2015/an-economic-history-of-singapore']"
هذا المقطع يصور مشاهد من احتفالية يوم الباستيل عام 2021، وليس لتحرك قوات فرنسية قرب حدود روسيا مؤخرًا,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-يصور-مشاهد-من-احتفالية-يوم-ا/,"…..أنباء:


‏قوات فرنسية تتحرك إلى نهر الدينيبر قرب روسيا….",,['https://www.youtube.com/watch?v=hgeLhCkFBwI']
هذا المقطع معدّل، ولا يبين شابًا يصفع دونالد ترامب بعد سخريته من أكراد مؤخراً,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/هذا-المقطع-معدّل،-ولا-يبين-شابًا-يصفع-د/,"الولايات المتسخة الامريكية
ترمب يتلقى صفعة خلفية قوية من شاب كردي ايراني لن ينساها طيلة حياته
-ترمب سخر قبل خطابه من امرأة ايرانية تلبس لباس كردي —- فجاءه الرد على البريد السريع
الرجل و المرأة الكرديان اصلهما من سندج في كردستان إيران و يعيشان في أمريكا",,['https://www.youtube.com/watch?v=Nx3-2TO_vAQ']
هل تريد المساعدة في مكافحة التضليل؟ ساعد مجتمعك على وقف انتشار المعلومات الخاطئة والمضللة,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/disarming-disinformation/,,,
"Fatabyyano announces the launch of “Kinan” the smart fact-checking assistant, in partnership with Meedan",2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/fatabyyano-announces-the-launch-of-kinan-the-smart-fact-checking-assistant-in-partnership-with-meedan/,,,
جيبوتي -Djibouti حملة COVID-19 vs F19,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/جيبوتي-djibouti-حملة-covid-19-vs-f19/,,,
اليمن -Yemen حملة COVID-19 vs F19,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/اليمن-yemen-حملة-covid-19-vs-f19/,,,
لا، لم تحظر اليابان لقاحات كوفيد 19، ولا صحة لهذه الادعاءات المتداولة حول زيادة معدل الوفيات بسبب اللقاح,2024-04-12T01:59:53+03:00,زائف,https://fatabyyano.net/371617829383-2/,#عاجل_الان: اليابان تحظر لقاحات كورونا بعد زيادة الوفيات… اللقاح تسبب في الكثير من الوفيات الآن اليابان تواجه انهيارًا سكانيًا حيث يموت عدد أكبر من المواطنين أكثر من عدد الذين يولدون… تحذر بقية الدول,,
